brand_name,property,city,room_type,available_contracts,quantity_available,description,thumbnail_url,image_urls,amenities
Universal Student Living,200 Cowgate,Edinburgh,4 Bed Classic Ensuite,1,10,"The four-bed en-suite room comes with a three-quarter-sized bed, modern en-suite, and stylish study area. There is also additional under-bed storage for extra peace of mind. 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time).",https://hfs.api.basepms.com/filesystem/room_types/images/YUEF6MnwVGlAiKjJa7kVb2Kvwe3KHr0bCR4ouu9b.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/YUEF6MnwVGlAiKjJa7kVb2Kvwe3KHr0bCR4ouu9b.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/5YHPqjL5XKD9v2MvN4hsCafQRDSrfcCzQ7VAUBWi.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/4znI51e8IKUNvfKzUkiQKMT75bqTpPo8XnGMMv4Y.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/UAE86CYExK4mQWqgofzWEJeXwgl2LPDjvQs6K3Np.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/kya2CeRbN3ZXIYFWM1qdBTKsjPwm1x3QF2d3EDNd.jpg,
Universal Student Living,200 Cowgate,Edinburgh,5 Bed Classic Ensuite,1,10,"This spacious en-suite room comes complete with a three-quarter-sized bed, wardrobe space and a large en-suite bathroom. This spacious room has ample storage as well as a large study desk and chair. 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time). 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time).",https://hfs.api.basepms.com/filesystem/room_types/images/yVPDza9047h8Hbxv6s6obpBsBwwQDJsqf8qU6Fuh.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/yVPDza9047h8Hbxv6s6obpBsBwwQDJsqf8qU6Fuh.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/6wL9JmuUBZD5hSMI7CUzVvb0Np8ZfvU6uDhtXGZQ.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/aGVJijaI1cwNZiaDeNzVXAWwM9mT7PI0fpgaDvx2.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/P2n7lImzMMJco8nFMC3A81Rm97NlBilduKosr7lZ.jpg,
Universal Student Living,200 Cowgate,Edinburgh,6 Bed Classic Ensuite,1,10,"This modern en-suite room comes with a three-quarter-sized bed, wardrobe space, study desk and chair and stylish en-suite bathroom. There is also additional under-bed storage for extra peace of mind. 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time).",https://hfs.api.basepms.com/filesystem/room_types/images/6u5AVDfs4O4oziJNFKavgmwDEOMRux2TbSYy3fLB.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/6u5AVDfs4O4oziJNFKavgmwDEOMRux2TbSYy3fLB.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/g114FADAJXc2EoP4a34lp0c1xaHMK2o7w9g4hTrc.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/STVpFJTNkmRURm8h0NaFQ3nbAx5FAMBgNBnddZcr.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/EpCVViINBCIdiBGLIhtXbqkt8aBvIAIdVg9VlaW9.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/yHb7EzSKukKn6LO3Mi3nsQG5vAIBVISQFouH6wbD.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/puBAy838Wa3wdOy5oYEu0KT58eaelDZ1VcFYXcVU.jpg,
Universal Student Living,200 Cowgate,Edinburgh,6 Bed Standard Ensuite,1,0,"This modern en-suite room comes with a three-quarter-sized bed, wardrobe space, study desk, chair and stylish en-suite bathroom. There is also additional under-bed storage for extra peace of mind. 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time).",https://hfs.api.basepms.com/filesystem/room_types/images/4HgqFI2lh57ulnYRJLqZYbvzAril00YGAroxyZ90.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/4HgqFI2lh57ulnYRJLqZYbvzAril00YGAroxyZ90.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/d7RmDTvaOeSNlwMoATRm8svLKoXhXPoSnlm8QDd8.jpg,
Universal Student Living,200 Cowgate,Edinburgh,Penthouse,1,0,"This private luxury studio, situated over two floors at the top of the building, has amazing views of Edinburgh City Centre. The luxurious studio comes complete with a fully fitted modern kitchenette with dishwasher, a three-quarter-sized bed, wardrobe space and a large en-suite bathroom. 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time). 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time).",https://hfs.api.basepms.com/filesystem/room_types/images/Hfwt89WjIAya9eoQsZiiWffovTLzOROmrHAcw9e0.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/Hfwt89WjIAya9eoQsZiiWffovTLzOROmrHAcw9e0.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/8fQsSOCfTt92TEOZNkvDH7VWpJnxM9XfRi9t2VP2.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/2vr9b8E3dPh0XbFMQm3XlvmQp3Vn8L8ymRTcxu9N.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/MscTZfDOlWEy7t50xlBS8knwh5vV1PYlmXAZdsE1.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/fKthPlEGxrj7B9GijgO9VT1ReBWyhHGNcu8SVYd7.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/smEtov8CXLvIUARnpE0IsCHFPHYe9Fu7YOTIgN4X.jpg,
Universal Student Living,200 Cowgate,Edinburgh,Studio,1,0,"A private studio with a three-quarter-sized bed, modern kitchenette with dishwasher, stylish en-suite, wardrobe space and a large study desk and chair. This studio is located at the back of the building, which is exceptionally quiet. 200 Cowgate is a contemporary student accommodation in Edinburgh providing a range of high-quality modern rooms situated in the heart of this vibrant, student-centric city. The purpose-designed student accommodation provides: • All-inclusive utility bills covering Gas, Electricity, Water and Council Tax • WiFi is available throughout the building • En-suite rooms have shared kitchens, dining and living spaces with under-bed storage in each room • Bike store • Laundry room • On-site management Location & Surrounding Area 200 Cowgate is one of the most central private accommodation blocks to Edinburgh University, being located between the Central campus (8 mins walk) and the Holyrood campus (8 mins walk). 200 Cowgate is positioned within the heart of Edinburgh’s historical and world-famous Old Town. It is located just off the Royal Mile and is surrounded by many of Edinburgh’s leisure and amenity offerings, and is central to the vibrant nightlife that Edinburgh is renowned for, including Three Sisters, Whistle Binkies and Sneaky Pete’s. The building is also within easy access of both Edinburgh Railway Station (5 mins walk) and Edinburgh International Airport (40 min journey time).",https://hfs.api.basepms.com/filesystem/room_types/images/BnBbQevvUQxdNVfCTWnizbyqUxJg1mDc6OZmvrar.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/BnBbQevvUQxdNVfCTWnizbyqUxJg1mDc6OZmvrar.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/4ORy71vp37mhxB597FxOF363nEpqwvyP98FGOZ0L.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/xd6sI1ce14tfiUE6hJo6V8LXqrSnQzC8uwfOs8XZ.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/pL41vigUVo7xFvTinQSemTjJhu6XOolWiEcG7V0u.jpg,
Prestige Student Living,26 Great George Street,Leeds,1 Bed Apartment,1,10,"Welcome to our spacious one-bedroom apartment, thoughtfully crafted to meet the needs of students. Boasting a generous 30.7 square metres, this apartment offers plenty of room to live, study, and unwind. Its well-defined layout provides a clear separation between the kitchen and the main room, delivering both structure and convenience. Fully furnished for your comfort, the apartment includes a comfortable bed for restful nights, a large cupboard for ample storage, and a practical desk to help keep you organised. A good-sized dining area next to the kitchen adds versatility, creating a space where you can study, relax, or enjoy meals with ease. This apartment is the perfect balance of space, comfort, and functionality, making it an ideal home for your student journey. *Room layouts are for illustration purposes. Actual rooms layouts may vary.",https://hfs.api.basepms.com/filesystem/room_types/images/Hk1ymxrxAWTo9kO4ken12Yk4sloZiZIjCM8msiYM.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/Hk1ymxrxAWTo9kO4ken12Yk4sloZiZIjCM8msiYM.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/EYtjtmlEMBwzn4GXihHMAx03C7an3CL06h2TCUWH.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/RjZw5cjHakWbn9ihWF4cfy6kXtw5V2JIUHVpytlT.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/5AeE1GJhejrBdAHS6ZgWEvQdq4hkTGDgamdTENX4.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/v3qKg2oJLELFIv2CA87TWcbYmDFPl5L8VoaAY47Z.jpg,Wardrobe|Desk Area
Prestige Student Living,26 Great George Street,Leeds,Classic Plus Studio,0,0,"Welcome to our Classic Plus Studio, which offers a spacious living area of between 18.2 to 19.4 square metres. With everything you need for a comfortable stay, the studio is fully furnished. Inside, you’ll find a desk to keep your stuff organised, a cupboard for lots of storage, and a cosy bed for restful nights. This studio ensures a tidy living space by providing a clear separation between the kitchen and the main room. There’s also a tiny dining area adjacent to the kitchen, which makes for a flexible area for unwinding and enjoying meals. This studio provides you with a warm and functional home for your academic journey—the ideal balance of space and utility. *Room layouts are for illustration purposes. Actual rooms layouts may vary.",https://hfs.api.basepms.com/filesystem/room_types/images/RAxsKh6hMyok2Z8SM5CU8CtuFMlrtV9hJpd1MFoN.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/RAxsKh6hMyok2Z8SM5CU8CtuFMlrtV9hJpd1MFoN.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/J03xXT2BlyqbukEhRTStZ6B2ZGtkoAOg4GU3ZgIH.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/2SDQAhBFbfHCD9JHwGzXY19P8eDnUTg5HM8sedHq.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/cxjCyy2uWpmXQe2fW2ueFvL7gJu8JuJuiBH5FwUq.jpg,Wardrobe|Desk Area
Prestige Student Living,26 Great George Street,Leeds,Classic Studio,0,0,"Step into our Classic Studio, a spacious 16.6 to 17.9 square meter living space, offering both comfort and functionality. This studio comes fully furnished with everything you need to excel as a student. Inside, you’ll find a comfortable bed for peaceful nights, a cupboard with ample storage space, and a study desk for you when you want to focus on your academic work. This well-structured studio ensures a proper division between the kitchen and the main room, providing you with a well-organized living environment. Additionally, there’s a small dining area adjacent to the kitchen, creating a space where you can relax and enjoy your meals comfortably. It’s the perfect fusion of modern and functional, ensuring that you have a welcoming and practical home during your student journey. *Actual rooms layouts may vary.",https://hfs.api.basepms.com/filesystem/room_types/images/634Stl0gswSMjWPGAoOvWbnq4NLq5FxVOeCAdD50.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/634Stl0gswSMjWPGAoOvWbnq4NLq5FxVOeCAdD50.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/lF8DEZ8VGvIlMByJRSTwxLhfnOQiUE9SOyklIms2.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/S7xKNBXnyIvUCJMyAf38XboxBorgvukhkqTQ6nwo.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/ZyKApbk7JzAFRrsgQJb2809LKEKTa3CzI8rqvDYX.jpg,Wardrobe|Desk Area
Prestige Student Living,26 Great George Street,Leeds,Deluxe Studio,2,0,"Welcome to our Deluxe Studio, a truly spacious living area ranging from 24.1 to 26.7 square meters. The studio is fully furnished, ensuring your every need is met with convenience and style. Inside, you’ll find an inviting bed for ultimate comfort, a cupboard for extensive storage, and a dedicated desk designed for your study sessions. This studio defines luxury and practicality with its well-structured division between the kitchen and the main room, creating an organized and functional living space. Moreover, a small dining area adjacent to the kitchen enhances your living experience, providing a versatile space for relaxation and delightful meals. This studio has a great blend of spaciousness and functionality, offering you an inviting and sophisticated home for your student journey. *Room layouts are for illustration purposes. Actual rooms layouts may vary.",https://hfs.api.basepms.com/filesystem/room_types/images/7D2Uoy0inZ1FOahVHnOejIx6bhxFpuezVCXv75AN.jpg,https://hfs.api.basepms.com/filesystem/room_types/images/7D2Uoy0inZ1FOahVHnOejIx6bhxFpuezVCXv75AN.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/p7foRGjDddiaWIWrLojThVnchYNh0Puui53hLlSL.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/pot1Un98dmmer8IJe05tQ24uFysvRoVuHBsEaeZ7.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/1k2iF0SIpprQCwkMjBSEtLSlfO0fiDLZRoy274rU.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/lH0bWOJMXkH1ZzKIbYVB8y21CVD70CAbd5vTAgku.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/Eq0eHCOEum9wvpx6orAU5lvmIMX9tUrPdz2BkiUa.jpg|https://hfs.api.basepms.com/filesystem/room_types/images/w2AOCXXJRwDZiPR7Eswnbo7d6ei4yuvB2Yb0Baw9.jpg,Wardrobe|Desk Area
